QSO z_abs EW_r EW_r_e logN logN_l logN_u
J010311+131618 2.298647 0.28 0.003 14.026 0.055 0.057
J010311+131618 1.9394951 0.408 0.004 14.257 0.054 0.059
J010311+131618 2.4063857 0.022 0.001 12.745 0.074 0.095
J010311+131618 1.9472553 0.159 0.003 13.669 0.051 0.056
J010311+131618 2.5519844 0.064 0.002 13.238 0.051 0.059
J010311+131618 2.5430677 0.057 0.001 13.231 0.083 0.089
J010311+131618 2.2789454 0.321 0.003 14.055 0.047 0.05
J010311+131618 2.1072251 0.063 0.002 13.241 0.068 0.078
J010311+131618 2.0987375 0.019 0.002 12.7 0.075 0.105
J010516-184642 2.4520574 0.052 0.005 13.16 0.039 0.076
J010516-184642 2.9267437 0.199 0.007 13.762 0.026 0.035
J010516-184642 2.5915379 0.077 0.003 13.446 0.06 0.08
J010516-184642 2.9718111 0.561 0.007 14.465 0.03 0.036
J010516-184642 2.3695624 0.251 0.016 13.948 0.032 0.052
J010516-184642 2.5400477 0.075 0.007 13.355 0.042 0.069
J010516-184642 2.1865232 0.242 0.006 13.929 0.036 0.041
J010516-184642 2.9387 0.066 0.006 13.23 0.035 0.052
J010516-184642 2.8435041 0.333 0.007 14.081 0.03 0.036
J010604-254651 2.6785707 0.032 0.002 12.959 0.053 0.077
J010604-254651 2.5577807 0.105 0.004 13.486 0.036 0.048
J010741-263328 1.7917689 0.431 0.007 14.365 0.0 1.0
J010806+163550 2.0326157 0.685 0.006 14.647 0.0 1.0
J010806+163550 2.3569781 0.079 0.01 13.322 0.023 0.04
J010806+163550 2.0599971 0.25 0.003 14.139 0.032 0.041
J010806+163550 2.12628 0.012 0.002 12.47 0.034 0.083
J010806+163550 1.9877805 0.064 0.004 13.24 0.028 0.037
J010806+163550 2.5363836 0.054 0.003 13.192 0.033 0.048
J010826-003724 1.3195452 0.117 0.006 13.536 0.037 0.047
J010925-210257 2.858823 0.896 0.017 14.538 0.019 0.026
J010925-210257 2.5493053 0.057 0.007 13.198 0.031 0.063
J010925-210257 2.7855167 0.394 0.009 14.258 0.0 1.0
J010925-210257 2.3596271 0.375 0.006 14.268 0.0 1.0
J010925-210257 2.8786746 0.079 0.006 13.383 0.049 0.074
J010925-210257 2.4180188 0.201 0.011 13.849 0.038 0.051
J010925-210257 2.7949472 0.218 0.009 13.874 0.033 0.049
J010925-210257 2.6687294 2.339 0.025 15.129 0.008 0.014
J011150+140141 2.2404286 0.193 0.011 13.876 0.03 0.071
J011150+140141 2.0995262 0.155 0.008 13.738 0.032 0.068
J011150+140141 2.1364962 0.504 0.012 14.369 0.0 1.0
J011150+140141 2.081745 0.053 0.007 13.197 0.039 0.102
J011150+140141 2.432191 0.196 0.014 13.806 0.029 0.055
J011150+140141 1.7528312 1.269 0.009 14.886 0.0 1.0
J011504-302514 2.6166631 0.239 0.011 13.866 0.028 0.037
J011504-302514 2.4186132 0.048 0.004 13.125 0.044 0.07
J011504-302514 2.7017826 1.365 0.012 14.86 0.0 1.0
J011504-302514 2.800809 0.296 0.008 14.018 0.03 0.04
J011504-302514 2.5984734 0.115 0.006 13.516 0.035 0.047
J011504-302514 2.8492921 0.389 0.006 14.212 0.029 0.04
J011504-302514 2.5657363 0.24 0.006 13.892 0.03 0.038
J011504-302514 2.1403151 0.194 0.007 13.752 0.028 0.035
J011852+032049 3.7865729 0.134 0.014 13.577 0.025 0.05
J011852+032049 4.1289899 0.59 0.027 14.289 0.018 0.029
J011852+032049 3.8051645 0.128 0.011 13.539 0.023 0.053
J011852+032049 3.7603406 0.504 0.025 14.23 0.021 0.031
J012126+034706 3.4260397 0.069 0.004 13.337 0.055 0.074
J012126+034706 3.601896 0.051 0.007 13.115 0.038 0.068
J012126+034706 3.5692367 0.206 0.019 13.75 0.021 0.036
J012126+034706 3.5278736 0.045 0.003 13.109 0.054 0.078
J012126+034706 3.5915965 0.033 0.004 12.913 0.037 0.077
J012126+034706 3.3611655 0.306 0.011 14.002 0.027 0.036
J012126+034706 3.8055202 0.082 0.007 13.353 0.035 0.057
J012403+004432 2.8336171 0.238 0.007 13.831 0.025 0.028
J012403+004432 3.1879768 0.035 0.004 12.956 0.035 0.068
J012403+004432 2.9420836 0.035 0.004 12.94 0.039 0.058
J012403+004432 2.9830983 0.508 0.007 14.443 0.03 0.045
J012403+004432 2.9094852 0.282 0.005 13.972 0.032 0.036
J012403+004432 3.3923272 0.269 0.007 13.974 0.033 0.04
J012403+004432 2.8663035 0.022 0.002 12.74 0.046 0.066
J012517-001828 2.115141 0.025 0.003 12.814 0.049 0.082
J012517-001828 2.1864942 0.29 0.007 14.015 0.034 0.041
J012517-001828 2.0075348 0.203 0.007 13.796 0.03 0.038
J012517-001828 1.992006 1.197 0.006 14.841 0.0 1.0
J012517-001828 1.7051872 0.128 0.004 13.691 0.053 0.065
J012517-001828 2.1685139 0.044 0.004 13.074 0.032 0.057
J012517-001828 1.7613196 0.553 0.013 14.294 0.024 0.03
J012642+255901 2.3009735 0.166 0.006 13.795 0.041 0.054
J013233+011607 1.6979001 0.463 0.009 14.359 0.018 0.034
J013301-400628 2.7239599 0.028 0.003 12.88 0.047 0.075
J013301-400628 2.9748815 0.362 0.011 14.007 0.018 0.022
J013301-400628 2.8961458 0.013 0.002 12.543 0.06 0.093
J013301-400628 2.7659881 0.049 0.003 13.141 0.053 0.071
J013301-400628 2.8570417 0.31 0.006 14.152 0.036 0.046
J013301-400628 2.6884144 0.207 0.006 13.878 0.042 0.047
J013301-400628 2.6794077 0.052 0.003 13.15 0.046 0.059
J013301-400628 2.2316978 0.316 0.004 14.053 0.033 0.036
J013301-400628 2.5622207 0.815 0.009 14.573 0.025 0.029
J013301-400628 2.4559133 0.025 0.002 12.799 0.051 0.074
J013724-422417 2.9699911 0.307 0.006 14.236 0.0 1.0
J013724-422417 3.1012586 0.212 0.016 13.797 0.023 0.039
J013724-422417 3.1555381 0.143 0.009 13.598 0.031 0.05
J013724-422417 3.0306185 0.066 0.005 13.278 0.041 0.065
J013724-422417 3.8168262 0.087 0.008 13.388 0.034 0.059
J013724-422417 3.5579068 0.051 0.007 13.12 0.034 0.077
