QSO z_abs EW_r EW_r_e logN logN_l logN_u
J110621+104432 1.817389 0.827 0.012 14.689 0.0 1.0
J110621+104432 1.4559769 0.721 0.012 14.581 0.0 1.0
J110855+120953 3.5283563 0.139 0.011 13.64 0.04 0.054
J110855+120953 3.0383927 0.438 0.016 14.148 0.023 0.028
J110855+120953 3.0169811 0.102 0.007 13.459 0.034 0.045
J110855+120953 3.5897893 0.155 0.009 13.618 0.022 0.038
J110855+120953 3.6169832 0.223 0.012 13.811 0.024 0.036
J110855+120953 2.7608369 0.103 0.006 13.454 0.035 0.044
J110855+120953 3.5450328 0.337 0.013 14.047 0.026 0.035
J110855+120953 3.4252529 0.109 0.007 13.529 0.041 0.058
J110855+120953 2.7359352 0.79 0.004 14.596 0.0 1.0
J110855+120953 3.1245812 0.061 0.005 13.208 0.033 0.052
J110855+120953 3.1092928 0.075 0.007 13.289 0.028 0.044
J111038+483115 2.6965956 0.048 0.005 13.09 0.032 0.047
J111038+483115 2.9087979 0.015 0.002 12.574 0.037 0.059
J111038+483115 2.1432039 0.056 0.001 13.249 0.065 0.07
J111038+483115 2.6846331 0.021 0.003 12.728 0.041 0.068
J111038+483115 2.1534965 0.017 0.002 12.633 0.045 0.061
J111038+483115 2.7610175 0.921 0.008 14.697 0.0 1.0
J111038+483115 2.7241835 0.169 0.004 13.693 0.029 0.033
J111038+483115 2.6619238 0.018 0.002 12.649 0.04 0.063
J111038+483115 2.8703275 0.068 0.003 13.279 0.037 0.047
J111109+144238 2.7038147 0.151 0.012 13.622 0.022 0.044
J111109+144238 2.9614248 0.185 0.012 13.729 0.026 0.047
J111109+144238 2.8382447 0.073 0.008 13.305 0.038 0.076
J111109+144238 2.8019117 0.24 0.018 13.848 0.022 0.042
J111109+144238 2.7875508 0.487 0.012 14.432 0.0 1.0
J111109+144238 2.4946529 0.214 0.012 13.806 0.026 0.042
J111109+144238 2.3062928 0.067 0.005 13.29 0.04 0.068
J111119+133603 2.8183558 0.041 0.005 13.051 0.036 0.081
J111119+133603 2.533363 0.772 0.002 14.806 0.0 1.0
J111727-083857 3.5731238 0.492 0.011 14.36 0.0 1.0
J111727-083857 4.0480962 0.422 0.018 14.162 0.018 0.04
J111727-083857 3.3905614 0.077 0.004 13.324 0.032 0.047
J112010-134625 3.5399424 0.031 0.002 12.906 0.046 0.061
J112010-134625 3.2551874 0.306 0.005 14.041 0.034 0.037
J112010-134625 3.5983769 0.048 0.004 13.091 0.028 0.047
J112010-134625 3.1781582 0.03 0.003 12.851 0.033 0.058
J112010-134625 3.6211398 0.112 0.012 13.457 0.02 0.034
J112010-134625 3.3508527 0.442 0.006 14.167 0.025 0.027
J112010-134625 3.7342239 0.024 0.002 12.772 0.038 0.064
J113010+041128 3.7723114 0.035 0.002 12.999 0.06 0.075
J113130+604420 2.866803 1.087 0.024 14.698 0.0 1.0
J113130+604420 2.5937213 0.068 0.007 13.252 0.023 0.045
J113130+604420 2.3653838 0.968 0.016 14.597 0.014 0.018
J113130+604420 2.16964 0.32 0.012 14.002 0.017 0.024
J113130+604420 2.3328226 0.2 0.008 13.856 0.027 0.035
J113130+604420 2.349674 0.293 0.015 13.953 0.018 0.025
J113130+604420 2.1291269 0.089 0.003 13.481 0.038 0.046
J113130+604420 2.1373782 0.185 0.003 13.91 0.033 0.04
J113130+604420 2.7887889 0.618 0.011 14.523 0.0 1.0
J113130+604420 2.7696707 0.324 0.02 13.987 0.016 0.023
J113418+574204 2.7705277 0.019 0.003 12.64 0.052 0.106
J113418+574204 3.2616767 0.168 0.002 13.918 0.052 0.066
J113418+574204 3.3223168 0.155 0.006 13.69 0.037 0.046
J113418+574204 3.2396337 0.224 0.004 13.962 0.041 0.049
J113418+574204 3.0287078 0.165 0.009 13.659 0.026 0.035
J113418+574204 2.9290245 0.034 0.003 12.974 0.051 0.08
J113418+574204 3.1041151 0.121 0.007 13.523 0.03 0.041
J114308+355222 2.5123767 0.18 0.006 13.902 0.048 0.057
J114308+355222 2.9722141 0.117 0.005 13.523 0.031 0.037
J114308+355222 2.7903728 0.086 0.004 13.38 0.033 0.041
J114308+355222 2.2854733 0.031 0.003 12.902 0.028 0.042
J114308+355222 2.3399662 0.143 0.004 13.669 0.043 0.047
J114308+355222 2.448167 0.402 0.004 14.218 0.03 0.034
J114308+355222 2.6454545 0.045 0.004 13.058 0.033 0.05
J114308+355222 2.9437695 0.035 0.005 12.966 0.032 0.061
J114436+095904 3.0400204 0.043 0.003 13.101 0.058 0.075
J114436+095904 2.8601768 0.164 0.008 13.708 0.036 0.045
J114608-244732 1.3657946 0.33 0.01 14.078 0.027 0.041
J114608-244732 1.5205666 0.246 0.011 13.964 0.035 0.048
J114608-244732 1.5626329 0.187 0.006 13.854 0.041 0.053
J115122+020426 1.7819022 0.094 0.005 13.411 0.029 0.044
J115122+020426 2.2590226 0.509 0.004 14.514 0.0 1.0
J115153+150945 2.6178327 0.274 0.007 14.025 0.033 0.045
J115153+150945 2.7809361 0.858 0.012 14.67 0.0 1.0
J115153+150945 3.0202277 0.073 0.007 13.296 0.036 0.06
J115153+150945 2.8067816 0.092 0.007 13.452 0.041 0.068
J115153+150945 2.6876999 0.782 0.014 14.522 0.022 0.03
J115411+063426 2.6560536 0.021 0.003 12.72 0.042 0.079
J115411+063426 2.0722486 0.046 0.003 13.123 0.05 0.072
J115411+063426 2.446432 0.17 0.006 13.718 0.033 0.042
J115411+063426 2.4243391 0.06 0.004 13.272 0.063 0.076
J115411+063426 2.5126378 0.045 0.006 13.048 0.037 0.062
J115411+063426 2.0498026 0.204 0.006 13.916 0.045 0.056
J115411+063426 1.9590989 0.409 0.006 14.199 0.031 0.033
J115411+063426 2.563372 0.058 0.003 13.238 0.055 0.07
J115411+063426 2.7071757 0.265 0.006 13.931 0.03 0.035
J115411+063426 2.0284717 0.086 0.004 13.408 0.041 0.055
J115411+063426 2.3080969 0.11 0.009 13.473 0.025 0.039
J115411+063426 2.0891922 0.402 0.01 14.306 0.023 0.029
J115411+063426 2.3662817 0.333 0.008 14.142 0.035 0.042
J115411+063426 2.335505 0.301 0.006 14.015 0.03 0.035
J115906+133737 3.1181036 0.013 0.002 12.544 0.046 0.111
J120044-185944 2.2354463 0.038 0.002 13.025 0.053 0.062
J120044-185944 2.0347933 0.017 0.001 12.633 0.045 0.066
J120044-185944 2.0407692 0.016 0.002 12.605 0.045 0.067
J120044-185944 2.2659797 0.128 0.003 13.695 0.057 0.06
J120044-185944 1.9144816 0.272 0.003 14.058 0.041 0.043
J120044-185944 1.8001882 0.095 0.002 13.449 0.043 0.048
J120207+323538 4.7105273 0.238 0.015 13.852 0.016 0.028
J120342+102831 1.3423633 0.693 0.011 14.61 0.013 0.023
J120342+102831 1.7962537 0.392 0.004 14.467 0.0 1.0
J120342+102831 1.4872397 0.046 0.003 13.125 0.048 0.076
J120342+102831 1.5789483 1.167 0.01 14.881 0.0 1.0
J120416+022111 2.4411037 0.525 0.015 14.233 0.029 0.042
J120416+022111 2.2416641 0.065 0.004 13.309 0.089 0.123
J121117+042222 2.1711569 0.639 0.01 14.401 0.017 0.021
J121117+042222 2.2070742 0.032 0.004 12.913 0.026 0.053
J121117+042222 2.3763266 0.887 0.008 14.793 0.0 1.0
J121549-003432 2.4590331 0.771 0.013 14.555 0.0 1.0
J121732+330538 2.0137731 0.148 0.008 13.66 0.027 0.05
J121732+330538 2.5255397 0.033 0.004 12.925 0.04 0.077
J121732+330538 1.9984705 0.169 0.011 13.68 0.023 0.038
J121732+330538 1.8830051 0.037 0.004 12.984 0.033 0.062
J122040+092326 2.41404 0.181 0.01 13.728 0.028 0.04
J122040+092326 2.4755754 1.057 0.003 14.945 0.0 1.0
J122040+092326 2.3948331 0.077 0.007 13.318 0.034 0.054
J122040+092326 2.2804156 0.024 0.002 12.816 0.052 0.083
J122040+092326 2.8952693 0.34 0.007 14.12 0.033 0.039
J122040+092326 2.631401 0.48 0.004 14.551 0.0 1.0
J122040+092326 2.8160044 0.12 0.004 13.58 0.044 0.054
J122040+092326 3.0369651 0.066 0.006 13.246 0.037 0.053
J122518+483116 3.0243232 0.077 0.005 13.324 0.022 0.034
J122518+483116 2.761741 0.283 0.003 14.115 0.027 0.037
J122518+483116 2.5541197 0.048 0.003 13.154 0.035 0.05
J122518+483116 2.9174465 0.158 0.011 13.642 0.017 0.026
J122518+483116 2.3506544 0.307 0.011 14.012 0.021 0.027
J122518+483116 2.600687 0.166 0.006 13.694 0.022 0.029
J122518+483116 2.6264729 0.054 0.005 13.184 0.033 0.046
J122518+483116 2.7783347 0.038 0.003 13.033 0.032 0.051
J122518+483116 2.687065 0.453 0.009 14.163 0.016 0.02
J122518+483116 2.5846911 0.211 0.006 13.889 0.027 0.035
J122527+223512 1.8350849 0.033 0.004 12.967 0.049 0.095
J122527+223512 1.9509243 0.025 0.003 12.807 0.043 0.088
J122527+223512 1.9804349 0.171 0.005 13.833 0.044 0.059
J122527+223512 1.4866158 0.333 0.007 14.096 0.0 1.0
J122527+223512 1.9373168 1.044 0.014 14.685 0.0 1.0
J122602+132114 2.6368655 1.165 0.006 14.998 0.0 1.0
J122602+132114 2.8510983 0.154 0.005 13.734 0.042 0.053
J122602+132114 2.6888292 0.472 0.012 14.257 0.028 0.035
J122848-010414 2.3218848 0.38 0.005 14.438 0.0 1.0
J122848-010414 1.8733838 0.038 0.003 13.026 0.055 0.075
J122848-010414 2.5924567 0.126 0.005 13.71 0.057 0.071
J122848-010414 2.199789 0.086 0.006 13.397 0.036 0.057
J122848-010414 2.1897863 0.281 0.01 14.018 0.034 0.044
J122848-010414 2.3868092 0.081 0.006 13.376 0.038 0.059
J123055-113909 3.205964 0.088 0.007 13.408 0.038 0.059
J123055-113909 2.8385293 0.505 0.009 14.382 0.026 0.038
J123055-113909 2.7054719 0.018 0.003 12.643 0.054 0.108
J123643-020420 1.7177039 1.464 0.019 14.934 0.0 1.0
J123643-020420 1.6735297 0.65 0.016 14.495 0.0 1.0
J123643-020420 1.413155 0.642 0.009 14.566 0.013 0.027
J123643-020420 1.5670366 0.17 0.009 13.796 0.038 0.063
J123643-020420 1.6180273 0.148 0.003 13.925 0.0 1.0
J123714+064759 2.1395953 0.042 0.004 13.046 0.04 0.059
J123714+064759 2.7315281 0.025 0.003 12.807 0.045 0.071
J123714+064759 2.2324211 0.235 0.003 13.987 0.039 0.046
J123714+064759 2.5628836 0.07 0.002 13.347 0.053 0.062
J123714+064759 2.0153192 1.147 0.007 14.966 0.0 1.0
J123714+064759 2.5191606 0.013 0.002 12.485 0.04 0.083
J123714+064759 2.1988767 0.037 0.004 12.98 0.038 0.059
J123714+064759 2.3116887 0.066 0.003 13.234 0.026 0.042
J123714+064759 2.6916762 1.926 0.01 14.983 0.0 1.0
J123714+064759 2.4859065 0.03 0.002 12.905 0.049 0.068
J123714+064759 2.1034666 1.796 0.008 15.174 0.0 1.0
J123714+064759 2.6225677 0.256 0.008 14.103 0.024 0.036
J123714+064759 2.5872866 1.515 0.011 14.935 0.0 1.0
J123748+012606 2.5073462 0.449 0.01 14.245 0.0 1.0
J123748+012606 2.9348789 0.062 0.008 13.213 0.0 1.0
J123748+012606 2.3968719 0.138 0.011 13.695 0.025 0.055
J124020+145535 3.0228863 0.482 0.016 14.306 0.025 0.04
J124020+145535 2.6887539 0.365 0.011 14.111 0.026 0.036
J124020+145535 2.8036761 0.058 0.007 13.223 0.037 0.081
J124020+145535 2.5647103 0.167 0.013 13.69 0.029 0.048
J124020+145535 3.0027705 0.151 0.013 13.612 0.023 0.046
J124020+145535 2.6281803 0.864 0.02 14.576 0.019 0.031
J124020+145535 2.8780235 0.118 0.012 13.531 0.028 0.056
J124020+145535 2.6388442 0.275 0.012 14.013 0.029 0.045
J124020+145535 2.5938477 0.222 0.012 13.91 0.035 0.055
J124020+145535 2.3846327 0.541 0.012 14.474 0.0 1.0
J124020+145535 2.4903909 0.397 0.012 14.208 0.021 0.036
J124610+303131 2.0940479 0.229 0.007 13.912 0.025 0.032
J124610+303131 2.2526084 0.27 0.005 14.014 0.024 0.029
J124610+303131 2.0527781 0.276 0.011 13.972 0.022 0.029
J124610+303131 1.9274685 0.435 0.008 14.183 0.019 0.023
J124610+303131 1.8763166 0.102 0.005 13.485 0.029 0.039
J124714+312641 2.4360037 0.226 0.011 13.809 0.022 0.033
J124714+312641 2.752311 0.232 0.016 13.842 0.021 0.041
J124714+312641 2.8875282 0.092 0.006 13.409 0.035 0.051
J124714+312641 2.1551205 1.013 0.012 14.796 0.0 1.0
J124714+312641 2.3464884 0.114 0.005 13.576 0.045 0.059
J124714+312641 2.7085546 0.279 0.014 13.958 0.026 0.035
J124714+312641 2.5578814 0.282 0.008 14.027 0.031 0.04
J124714+312641 2.5431829 0.027 0.002 12.876 0.048 0.081
J124714+312641 2.4754488 0.086 0.009 13.353 0.027 0.051
J124913-055918 1.6720867 0.305 0.007 14.103 0.037 0.049
J124913-055918 1.8581819 0.071 0.003 13.435 0.075 0.087
J124913-055918 2.187324 0.083 0.003 13.375 0.04 0.05
J124913-055918 1.6458139 1.118 0.014 14.787 0.0 1.0
J124913-055918 1.5640532 0.036 0.004 12.978 0.031 0.067
J124957-015928 3.1021168 0.399 0.004 14.167 0.029 0.032
J125316+114720 2.8021638 0.301 0.015 13.953 0.021 0.035
J125316+114720 2.8348782 0.05 0.005 13.177 0.049 0.079
J125838-180002 1.5022535 0.154 0.012 13.728 0.034 0.066
J125838-180002 1.6428351 0.497 0.011 14.356 0.023 0.037
J125838-180002 1.3646024 0.722 0.018 14.498 0.0 1.0
J125838-180002 1.8375388 0.292 0.017 14.022 0.027 0.047
J125838-180002 1.5076534 0.132 0.008 13.659 0.039 0.071
J125838-180002 1.6768322 0.129 0.005 13.661 0.043 0.066
J130411+295348 2.424927 0.175 0.01 13.77 0.027 0.036
J130411+295348 2.1222082 0.392 0.003 14.422 0.0 1.0
J130426+120245 2.5350147 0.341 0.015 14.028 0.016 0.025
J130426+120245 2.1421277 0.304 0.004 14.203 0.0 1.0
J130426+120245 2.9134924 0.718 0.012 14.505 0.016 0.023
J130426+120245 2.7867387 0.041 0.006 13.041 0.025 0.053
J130426+120245 2.9289443 0.131 0.011 13.581 0.023 0.035
J130426+120245 2.8398489 0.019 0.003 12.675 0.043 0.082
J130426+120245 2.8987367 0.061 0.007 13.234 0.025 0.044
J130542+092427 1.9020277 0.865 0.022 14.591 0.0 1.0
J130542+092427 1.926859 0.052 0.005 13.269 0.053 0.106
J130542+092427 1.5383894 1.085 0.015 14.704 0.0 1.0
J131011+460124 1.6978622 0.033 0.001 12.97 0.067 0.081
J131011+460124 1.645131 0.039 0.002 13.017 0.046 0.059
J131011+460124 1.7728232 0.436 0.003 14.303 0.035 0.037
J131011+460124 1.6773252 0.065 0.002 13.373 0.076 0.084
J131011+460124 2.0791429 0.208 0.003 13.902 0.045 0.049
J131040+542449 1.5908181 0.034 0.005 12.947 0.046 0.093
J131040+542449 1.5987608 0.862 0.012 14.659 0.015 0.022
J131040+542449 1.6685331 0.324 0.007 14.17 0.035 0.047
J131215+423900 1.9245076 0.299 0.007 14.063 0.027 0.032
J131215+423900 2.0395191 0.187 0.006 13.786 0.025 0.031
J131215+423900 2.1895959 0.1 0.002 13.637 0.045 0.054
J131341+144140 1.79507 1.013 0.016 14.74 0.0 1.0
J131341+144140 1.3507928 1.446 0.004 14.959 0.0 1.0
J131341+144140 1.6806786 0.079 0.008 13.356 0.041 0.08
J131341+144140 1.4714498 0.229 0.006 14.017 0.0 1.0
J131855+531207 2.0044737 0.605 0.002 14.699 0.0 1.0
J131952-022543 1.8749743 0.339 0.013 14.163 0.0 1.0
J131952-022543 1.794377 0.196 0.006 13.923 0.035 0.059
J132029-052335 3.1783773 0.014 0.002 12.533 0.044 0.076
J132029-052335 2.933516 0.053 0.004 13.138 0.029 0.045
J132029-052335 2.8319597 0.371 0.005 14.076 0.026 0.029
J132029-052335 3.2881488 0.412 0.005 14.2 0.031 0.033
J132029-052335 3.3598908 0.036 0.002 12.979 0.044 0.059
J132029-052335 2.9812928 0.007 0.001 12.271 0.044 0.086
J132029-052335 3.2772894 0.048 0.002 13.102 0.039 0.049
J132029-052335 3.0921063 0.039 0.002 13.025 0.05 0.063
J132029-052335 3.3769945 0.085 0.003 13.37 0.038 0.046
J132029-052335 2.9006534 0.044 0.002 13.07 0.043 0.057
J132029-052335 3.3023738 0.071 0.004 13.268 0.032 0.043
J132654-050058 1.4035617 0.268 0.011 14.051 0.021 0.045
J132654-050058 1.3153487 0.436 0.012 14.38 0.0 1.0
J132654-050058 1.7816217 0.213 0.009 13.874 0.032 0.05
J132654-050058 1.8508066 0.264 0.007 14.129 0.0 1.0
J132654-050058 1.4639405 1.101 0.012 14.747 0.0 1.0
J132654-050058 1.5062164 0.23 0.012 13.913 0.031 0.053
J133007-205616 1.1354956 0.193 0.006 14.014 0.0 1.0
J133051-252219 3.2937836 0.053 0.007 13.136 0.03 0.067
J133051-252219 3.0821653 0.704 0.015 14.497 0.023 0.03
J133051-252219 3.3891424 0.184 0.008 13.764 0.035 0.048
J133532+082404 1.8563647 0.564 0.019 14.384 0.0 1.0
J133532+082404 1.5150776 0.129 0.01 13.648 0.037 0.074
J133532+082404 1.4021268 1.322 0.006 14.865 0.0 1.0
J133532+082404 1.4784252 0.826 0.015 14.632 0.0 1.0
J133941+054822 2.6876609 0.489 0.009 14.37 0.0 1.0
J133941+054822 2.2763745 0.017 0.003 12.66 0.046 0.097
J133941+054822 2.5876132 0.955 0.014 14.638 0.0 1.0
J133941+054822 2.8300943 0.057 0.006 13.172 0.035 0.06
J133941+054822 2.7125612 0.39 0.004 14.258 0.033 0.041
J133941+054822 2.1384772 0.088 0.008 13.367 0.029 0.043
J133941+054822 2.3112022 0.041 0.003 13.043 0.049 0.075
J134145-003631 1.9613262 0.45 0.012 14.278 0.0 1.0
J134145-003631 1.8407337 0.275 0.015 13.95 0.027 0.038
J134145-003631 1.9516179 0.164 0.002 14.003 0.0 1.0
J134258-135559 2.7530579 0.059 0.005 13.19 0.033 0.049
J134258-135559 2.7390255 0.044 0.004 13.052 0.039 0.059
J134258-135559 3.0946329 0.013 0.001 12.499 0.039 0.071
J134258-135559 2.9932619 0.034 0.003 12.916 0.036 0.054
J134258-135559 2.3783573 0.053 0.003 13.146 0.036 0.047
J134258-135559 2.8903361 0.02 0.002 12.728 0.052 0.082
J134258-135559 2.5126319 0.078 0.003 13.365 0.046 0.055
J134258-135559 2.2929126 0.048 0.002 13.108 0.04 0.047
J134258-135559 2.4316065 0.03 0.003 12.876 0.041 0.062
J134328+572147 2.3605916 0.195 0.007 13.853 0.036 0.056
J134328+572147 2.8334325 0.402 0.018 14.219 0.023 0.046
J134328+572147 2.8896299 0.152 0.016 13.631 0.021 0.057
J134328+572147 2.8702868 0.136 0.009 13.699 0.0 1.0
J134328+572147 2.5909085 0.613 0.018 14.435 0.0 1.0
J134544+262506 1.6705428 0.602 0.004 14.629 0.0 1.0
J134544+262506 1.4511614 0.787 0.01 14.716 0.0 1.0
J134916-033715 3.3376168 0.027 0.003 12.862 0.05 0.089
J134916-033715 3.3605888 1.294 0.014 14.898 0.0 1.0
J134916-033715 3.6141378 0.25 0.014 13.88 0.022 0.034
J134916-033715 3.5896141 0.101 0.01 13.458 0.029 0.051
J135317+532825 2.8463858 0.033 0.003 12.961 0.038 0.064
J135317+532825 2.2254538 0.322 0.006 14.234 0.024 0.037
J135317+532825 2.5259984 0.305 0.009 14.067 0.023 0.03
J135334-031022 2.6669061 0.364 0.014 14.072 0.023 0.036
J135334-031022 2.5593911 0.762 0.018 14.486 0.02 0.03
J140039+112022 2.4486177 0.056 0.004 13.197 0.04 0.062
J140039+112022 2.3505835 0.182 0.003 13.903 0.043 0.059
J140039+112022 2.416094 0.142 0.008 13.648 0.029 0.053
J140039+112022 2.1890974 0.31 0.011 14.01 0.027 0.036
J140039+112022 2.4824919 0.93 0.011 14.683 0.0 1.0
J140445-013021 1.7842868 0.086 0.005 13.391 0.037 0.052
J140445-013021 1.9400409 0.162 0.005 13.773 0.04 0.055
J140445-013021 2.2076315 0.414 0.007 14.346 0.016 0.022
J140501+444800 1.7322266 0.679 0.005 14.603 0.0 1.0
J140501+444800 2.0690937 0.166 0.004 13.948 0.03 0.046
J140501+444800 1.552634 0.277 0.005 13.984 0.031 0.036
J140501+444800 1.8169898 0.298 0.007 14.029 0.027 0.035
J140501+444800 2.0483554 0.217 0.007 13.908 0.032 0.043
J140501+444800 2.0166987 0.105 0.004 13.504 0.033 0.046
J140501+444800 2.090883 0.155 0.003 13.869 0.045 0.058
J140501+444800 1.9273495 0.43 0.01 14.445 0.0 1.0
J141217+091624 2.5411688 0.689 0.01 14.512 0.025 0.031
J141217+091624 2.6666255 0.62 0.007 14.449 0.027 0.033
J141217+091624 2.634379 0.037 0.003 13.011 0.055 0.075
J141217+091624 2.64306 0.026 0.004 12.798 0.032 0.07
J141217+091624 2.578835 0.039 0.002 13.026 0.042 0.064
J141217+091624 2.4562328 0.174 0.005 13.764 0.039 0.045
J141217+091624 2.5509523 0.022 0.002 12.744 0.045 0.08
J141217+091624 2.4060068 0.084 0.005 13.373 0.035 0.048
J141217+091624 2.5579318 0.035 0.003 12.974 0.037 0.062
J141217+091624 2.7842401 0.084 0.006 13.344 0.026 0.04
J141217+091624 2.397734 0.031 0.003 12.916 0.041 0.067
J141520-095558 1.3607026 0.563 0.012 14.481 0.017 0.035
J141520-095558 1.4773948 0.767 0.027 14.515 0.0 1.0
J141719+413237 1.7886546 0.043 0.002 13.065 0.079 0.105
J141719+413237 1.7668455 0.072 0.003 13.414 0.104 0.123
J141719+413237 1.4352639 1.151 0.011 14.763 0.0 1.0
J141719+413237 1.6132702 0.052 0.004 13.136 0.077 0.105
J141719+413237 1.4822919 1.07 0.005 14.942 0.0 1.0
J141719+413237 1.4755294 0.066 0.005 13.266 0.07 0.096
J141719+413237 1.9549411 0.433 0.01 14.116 0.031 0.038
J141906+592312 2.2856914 0.058 0.008 13.168 0.017 0.037
J141906+592312 1.698522 0.07 0.004 13.301 0.029 0.041
J141906+592312 2.0771647 0.158 0.003 14.008 0.0 1.0
J142326+325220 1.7174886 0.262 0.013 13.999 0.025 0.056
J142326+325220 1.7593507 0.141 0.009 13.712 0.027 0.094
J142330+115951 1.3606364 0.437 0.01 14.288 0.0 1.0
J142656+602550 2.72618 0.027 0.002 12.838 0.042 0.052
J142656+602550 2.963945 0.069 0.003 13.266 0.04 0.044
J142656+602550 2.4866836 0.235 0.004 13.854 0.033 0.035
J142656+602550 2.8295622 1.096 0.004 14.711 0.023 0.025
J142656+602550 2.4759084 0.058 0.002 13.198 0.046 0.052
J142656+602550 2.3427895 0.049 0.001 13.117 0.049 0.053
J142656+602550 2.7727128 0.245 0.001 14.296 0.053 0.061
J142656+602550 2.9504592 0.137 0.003 13.597 0.035 0.038
J142656+602550 2.7960187 0.016 0.001 12.619 0.05 0.067
J142656+602550 2.6464706 0.026 0.002 12.819 0.042 0.054
J142656+602550 3.095425 0.053 0.002 13.153 0.045 0.051
J143040+014939 1.9328525 0.083 0.006 13.397 0.041 0.059
J143040+014939 2.0704305 0.954 0.006 14.718 0.0 1.0
J143040+014939 1.9568075 0.091 0.005 13.422 0.035 0.051
J143040+014939 1.9859023 0.033 0.005 12.923 0.033 0.07
J143040+014939 1.7892196 0.387 0.002 14.426 0.0 1.0
J143316+313126 2.6441769 0.071 0.002 13.316 0.048 0.057
J143316+313126 2.8575519 0.024 0.004 12.771 0.028 0.066
J143316+313126 2.8907925 0.073 0.004 13.29 0.028 0.041
J143316+313126 2.3736138 0.333 0.009 14.01 0.025 0.03
J143316+313126 2.6128362 0.12 0.007 13.514 0.03 0.039
J143316+313126 2.4371588 0.028 0.003 12.873 0.038 0.067
J143316+313126 2.7746779 0.04 0.005 13.014 0.026 0.05
J143500+535953 2.4093913 0.015 0.002 12.603 0.036 0.061
J143500+535953 2.2838297 0.07 0.002 13.304 0.033 0.04
J143500+535953 2.1027999 0.048 0.003 13.121 0.031 0.043
J143500+535953 2.2912721 0.075 0.004 13.322 0.028 0.036
J143500+535953 1.9913708 0.955 0.005 14.925 0.0 1.0
J143500+535953 2.5888703 0.1 0.005 13.427 0.019 0.028
J143500+535953 2.2483525 0.031 0.002 12.909 0.033 0.049
J143500+535953 2.3951159 0.119 0.005 13.578 0.033 0.038
J143500+535953 2.3429886 0.218 0.006 13.831 0.022 0.026
J143500+535953 2.5390255 0.07 0.005 13.259 0.022 0.034
J143907-010616 1.6621992 0.108 0.009 13.528 0.03 0.051
J143907-010616 1.7247695 0.07 0.004 13.378 0.042 0.069
J143912+111740 1.8590508 0.311 0.007 13.986 0.026 0.031
J143912+111740 2.4803148 0.318 0.004 14.26 0.03 0.036
J143912+111740 2.4181052 0.712 0.009 14.429 0.022 0.025
J143912+111740 1.8749062 0.937 0.003 14.911 0.0 1.0
J143912+111740 2.5418495 0.01 0.001 12.404 0.058 0.095
J143912+111740 2.4080729 0.134 0.005 13.601 0.036 0.043
J143912+111740 2.4674198 0.043 0.003 13.043 0.03 0.05
J143912+111740 1.8374957 0.227 0.004 13.895 0.037 0.041
J143912+111740 2.492936 0.015 0.001 12.615 0.059 0.087
J143912+295448 2.5951835 0.022 0.003 12.742 0.044 0.073
J143912+295448 2.8745234 0.646 0.019 14.522 0.0 1.0
J143912+295448 2.2689105 0.167 0.005 13.785 0.041 0.051
J143912+295448 2.4948617 0.218 0.007 13.947 0.04 0.047
J143912+295448 2.8282062 0.068 0.006 13.249 0.025 0.043
J143916-015627 1.6968903 0.497 0.016 14.334 0.0 1.0
J143916-015627 1.584777 1.272 0.007 14.812 0.0 1.0
J144231+013734 2.1363704 0.161 0.012 13.76 0.038 0.083
J144231+013734 2.158255 0.547 0.012 14.429 0.0 1.0
J145147-151220 3.8755769 0.036 0.002 12.978 0.047 0.056
J145147-151220 4.6922492 0.331 0.007 14.0 0.025 0.027
J145147-151220 4.6201666 0.103 0.003 13.446 0.029 0.037
J145147-151220 4.4631603 0.272 0.008 13.924 0.029 0.032
J145147-151220 4.6123709 0.139 0.005 13.593 0.03 0.036
J145147-151220 3.9769474 0.113 0.004 13.493 0.033 0.038
J145147-151220 4.6286224 0.071 0.005 13.256 0.023 0.033
J145147-151220 4.6485506 0.018 0.002 12.659 0.051 0.073
J145147-151220 3.7465129 0.263 0.005 13.891 0.026 0.029
J145408+511443 2.6849644 0.138 0.006 13.775 0.034 0.047
J145435+094100 1.4359329 0.592 0.015 14.433 0.021 0.037
J145435+094100 1.5649723 0.754 0.009 14.626 0.0 1.0
J145435+094100 1.3452884 0.932 0.006 14.835 0.0 1.0
J145435+094100 1.7888504 0.915 0.019 14.628 0.0 1.0
J145435+094100 1.7593402 0.155 0.008 13.8 0.038 0.068
J145754+003639 2.3835915 0.168 0.012 13.705 0.033 0.045
J145754+003639 2.0960195 0.306 0.005 14.262 0.0 1.0
J145754+003639 2.1228348 0.084 0.006 13.383 0.038 0.061
J145754+003639 2.5779459 0.163 0.009 13.667 0.026 0.041
J145754+003639 2.0513139 4.223 0.016 15.432 0.0 1.0
J145754+003639 2.5098938 0.256 0.01 14.053 0.036 0.054
J145754+003639 2.080021 0.077 0.004 13.378 0.049 0.067
J145754+003639 2.4920499 0.178 0.009 13.839 0.044 0.058
J150932+111313 1.5469336 1.182 0.012 14.803 0.0 1.0
J150932+111313 1.9589268 0.119 0.008 13.606 0.038 0.08
J150932+111313 2.0570485 0.237 0.011 13.923 0.029 0.053
J150932+111313 2.0281201 0.455 0.023 14.224 0.021 0.043
J151224+465233 2.4463604 0.164 0.014 13.648 0.022 0.038
J151224+465233 2.773518 0.034 0.004 12.997 0.048 0.103
